tell,comments_mentioning,share_of_comments_pct,neg_sentiment_comments
'Screams AI' / soulless / slop,193,6.4,135
'All looks the same' / template / cookie-cutter,185,6.1,126
shadcn / Tailwind default kit,76,2.5,16
Purple / violet (the 'AI purple'),71,2.3,29
Gradients everywhere / gradient text,60,2.0,21
Too many animations / Framer fade-ins,34,1.1,6
Rounded corners / pill buttons,23,0.8,10
Dark mode + neon glow,22,0.7,3
Emoji / ✨ sparkles / 🚀 in copy,16,0.5,4
Generic sans font (Inter / Geist),13,0.4,7
Three-column feature cards,13,0.4,1
Mesh / blob / aurora backgrounds,8,0.3,3
Glassmorphism / frosted glass,7,0.2,2
Same hero: huge headline + 2 buttons,7,0.2,3
Stock illustrations / clipart,7,0.2,1
Centered everything / endless whitespace,7,0.2,3
Bento grid,4,0.1,1
